Artist Name,Genre,Sub-Genre,Country,Website,Spotify,YouTube,Instagram,Notes
The Kooks,Spotlight Show,Indie Rock,UK,https://thekooks.com,https://open.spotify.com/artist/6GI52t8N5F02MxU0g5U69P,,https://www.instagram.com/thekooks/,"20th Anniversary Spotlight Show, TGE Beach, May 13. Brighton-formed indie icons who played the very first Great Escape in 2006."
Kingfishr,Spotlight Show,Indie Folk,Ireland,https://www.kingfishr.ie/,https://open.spotify.com/artist/3uHh8ZHFNlBYvqU67WGS6N,https://www.youtube.com/watch?v=Xv3ljc-Wh-Q,https://www.instagram.com/kingfishr/,"Spotlight Show, Brighton Dome, May 14. Limerick trio whose hit 'Killeagh' went 4x platinum in Ireland."
Peaches,Spotlight Show,Electronic / Art Pop,Canada/Germany,https://www.peachesrocks.com/,https://open.spotify.com/artist/4bdryOUFKAfMBBVy1O4VYi,https://www.youtube.com/watch?v=0wl7smcDuMU,https://www.instagram.com/peachesrocks/,Spotlight Show. Iconic electro-punk provocateur and artist.
Adult DVD,Alternative & Indie,Alt-Indie,UK,https://adultdvd.band/,https://open.spotify.com/artist/1lT3vDbjqz299SxePec6ZG?si=1i9CLKqvT7Oiqz-TYb_OZg,https://www.youtube.com/results?search_query=Adult+DVD+band+music,https://www.instagram.com/adultdvdband/,"UK alt-indie six-piece, raucous party-starters."
Ain't ,Alternative & Indie,Alt Rock,UK,https://lnk.to/aint-jude,https://open.spotify.com/artist/0TTADMS1RLOmf7qACoMewD?si=c82cacb38c24416e,https://www.youtube.com/results?search_query=Ain%27t+band+music+indie,,Channels the stranger side of 90s guitar music from both sides of the Atlantic.
Ally Nicholas,Alternative & Indie,Indie,UK,https://allynicholas.com/,https://open.spotify.com/artist/3F2at4eIx4GXByVo0hGJaX?si=a1163f39cc484be0,https://www.youtube.com/results?search_query=Ally+Nicholas+music,,Rising indie talent.
Ana De Llor,Alternative & Indie,Indie,Spain,,,https://www.youtube.com/results?search_query=Ana+De+Llor+music,,
Angine de Poitrine,Alternative & Indie,Math Rock,Canada,,,https://www.youtube.com/results?search_query=Angine+de+Poitrine+music,,Experimental math-rock duo from Quebec.
Atomic Lobster,Alternative & Indie,Alt Rock,UK,,,https://www.youtube.com/results?search_query=Atomic+Lobster+band,,
Bean Magazine,Alternative & Indie,Indie Rock,UK,https://www.facebook.com/BeanMagazine.Band/,,https://www.youtube.com/results?search_query=Bean+Magazine+band+music,,Pixies-style snap with the melodic sensitivity of songwriter rock.
Benchwarmer,Alternative & Indie,Alt Rock / Shoegaze,UK,,,https://www.youtube.com/results?search_query=Benchwarmer+band+shoegaze,,Alt rock shoegaze five-piece from London.
big long sun,Alternative & Indie,Art Rock,UK,https://www.instagram.com/biglongsunband,,https://www.youtube.com/results?search_query=big+long+sun+band+music,https://www.instagram.com/biglongsunband,"Frenzied 8-piece Brighton-based. Words-as-percussion, crooked grooves, spearheaded by poet/filmmaker Jamie Broughton."
Bitterfly,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Bitterfly+band+music,,
Chanpan,Alternative & Indie,Alt-Indie,USA,,,https://www.youtube.com/results?search_query=Chanpan+band+music,,New York trio bringing indie innovation.
Ciao Lucifer,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Ciao+Lucifer+band,,
Cusp,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Cusp+band+indie+music,,
Dead Dads Club,Alternative & Indie,Post-Punk,UK,,,https://www.youtube.com/results?search_query=Dead+Dads+Club+band+music,,London alt-indie outfit led by ex-Palma Violets frontman Chilli Jesson.
Dea Matrona,Alternative & Indie,Rock,Ireland,,,https://www.youtube.com/results?search_query=Dea+Matrona+music,,Irish rock duo with guitar-driven energy.
dogworld,Alternative & Indie,Post-Punk,Australia,,,https://www.youtube.com/results?search_query=dogworld+band+Australia,,Australian post-punk four-piece pushing genre boundaries.
East Exchange,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=East+Exchange+band+music,,
Fellatio,Alternative & Indie,Indie Rock,UK,,,https://www.youtube.com/results?search_query=Fellatio+band+indie+rock,,
Fez,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Fez+band+indie+music+UK,,
Fool Nelson,Alternative & Indie,Indie,UK,,,https://www.youtube.com/results?search_query=Fool+Nelson+music,,
